date,time,hour,day,month,day_of_week,is_weekend,temperature,humidity,number_of_people,appliance_usage,previous_consumption,rolling_3h_avg,ac_consumption,refrigerator_consumption,lighting_consumption,laundry_consumption,other_consumption,energy_consumption
2024-01-01,00:00,0,1,1,0,0,10.0,82.4,4,Low,1.2,1.2,0.46,0.19,0.11,0.0,1.11,1.87
2024-01-01,01:00,1,1,1,0,0,10.0,84.1,4,Low,1.87,1.42,0.46,0.22,0.11,0.0,1.46,2.25
2024-01-01,02:00,2,1,1,0,0,10.0,85.2,2,Low,2.25,1.74,0.46,0.2,0.1,0.0,1.13,1.89
2024-01-01,03:00,3,1,1,0,0,10.0,86.3,2,Low,1.89,2.0,0.46,0.2,0.1,0.0,0.72,1.48
2024-01-01,04:00,4,1,1,0,0,10.0,82.1,2,Low,1.48,1.87,0.46,0.21,0.1,0.0,0.79,1.56
2024-01-01,05:00,5,1,1,0,0,10.0,80.6,1,Low,1.56,1.64,0.46,0.2,0.09,0.0,0.94,1.69
2024-01-01,06:00,6,1,1,0,0,10.0,78.8,1,High,1.69,1.58,0.84,0.21,0.09,0.0,3.32,4.46
2024-01-01,07:00,7,1,1,0,0,10.0,77.7,5,High,4.46,2.57,0.84,0.22,0.12,0.0,5.41,6.59
2024-01-01,08:00,8,1,1,0,0,10.0,83.7,1,Low,6.59,4.25,0.46,0.2,0.09,0.0,3.05,3.8
2024-01-01,09:00,9,1,1,0,0,10.0,81.2,1,Medium,3.8,4.95,0.62,0.21,0.09,0.0,2.17,3.09
2024-01-01,10:00,10,1,1,0,0,10.2,85.2,1,Medium,3.09,4.49,0.6,0.19,0.09,0.0,1.99,2.87
2024-01-01,11:00,11,1,1,0,0,13.1,75.9,3,Medium,2.87,3.25,0.3,0.19,0.1,0.0,2.14,2.73
2024-01-01,12:00,12,1,1,0,0,11.9,75.9,2,Medium,2.73,2.9,0.42,0.21,0.1,0.0,1.75,2.48
2024-01-01,13:00,13,1,1,0,0,13.7,80.0,2,Medium,2.48,2.69,0.24,0.2,0.1,0.0,2.15,2.69
2024-01-01,14:00,14,1,1,0,0,14.1,76.9,1,Medium,2.69,2.63,0.2,0.21,0.09,0.0,1.62,2.12
2024-01-01,15:00,15,1,1,0,0,12.0,77.4,3,Medium,2.12,2.43,0.41,0.22,0.1,0.0,1.89,2.62
2024-01-01,16:00,16,1,1,0,0,12.6,81.9,3,Medium,2.62,2.48,0.35,0.19,0.1,0.0,2.08,2.72
2024-01-01,17:00,17,1,1,0,0,13.1,77.7,2,High,2.72,2.49,0.4,0.21,0.1,0.0,5.68,6.39
2024-01-01,18:00,18,1,1,0,0,10.0,81.3,2,Medium,6.39,3.91,0.62,0.21,0.22,0.0,5.35,6.4
2024-01-01,19:00,19,1,1,0,0,10.0,84.0,5,Medium,6.4,5.17,0.62,0.2,0.42,0.0,5.75,6.99
2024-01-01,20:00,20,1,1,0,0,10.0,92.9,1,Medium,6.99,6.59,0.62,0.2,0.15,0.0,5.23,6.2
