date,time,temperature,humidity,number_of_people,appliance_usage,previous_consumption,energy_consumption
2024-07-01,08:00,28.5,62.0,3,Medium,3.2,4.5
2024-07-01,12:00,32.0,55.0,2,Low,4.5,3.8
2024-07-01,18:00,31.5,68.0,4,High,3.8,7.9
2024-07-01,20:00,30.0,72.0,4,High,7.9,8.4
2024-07-01,23:00,27.0,75.0,3,Low,8.4,2.8
2024-07-02,08:00,29.0,60.0,3,Medium,2.8,4.6
2024-07-02,12:00,33.5,50.0,2,Medium,4.6,4.1
2024-07-02,19:00,32.0,65.0,4,High,4.1,8.2
2024-07-02,21:00,30.5,70.0,4,High,8.2,7.8
2024-07-02,23:00,27.5,74.0,3,Low,7.8,2.7
